0 1 0 0 1 2
1e-06           1 3.92699e-06           0           1           2
2e-06           1 7.85398e-06           0           1           2
3e-06          1 1.1781e-05          0          1          2
4e-06          1 1.5708e-05          0          1          2
5e-06          1 1.9635e-05          0          1          2
6e-06           1 2.35619e-05           0           1           2
7e-06           1 2.74889e-05           0           1           2
8e-06           1 3.14159e-05           0           1           2
9e-06           1 3.53429e-05           0           1           2
1e-05           1 3.92699e-05           0           1           2
1.1e-05           1 4.31969e-05           0           1           2
1.2e-05           1 4.71239e-05           0           1           2
1.3e-05           1 5.10509e-05           0           1           2
1.4e-05           1 5.49779e-05           0           1           2
1.5e-05           1 5.89049e-05           0           1           2
1.6e-05           1 6.28319e-05           0           1           2
1.7e-05           1 6.67588e-05           0           1           2
1.8e-05           1 7.06858e-05           0           1           2
1.9e-05           1 7.46128e-05           0           1           2
2e-05           1 7.85398e-05           0           1           2
2.1e-05           1 8.24668e-05           0           1           2
2.2e-05           1 8.63938e-05           0           1           2
2.3e-05           1 9.03208e-05           0           1           2
2.4e-05           1 9.42478e-05           0           1           2
2.5e-05           1 9.81748e-05           0           1           2
2.6e-05           1 0.000102102           0           1           2
2.7e-05           1 0.000106029           0           1           2
2.8e-05           1 0.000109956           0           1           2
2.9e-05           1 0.000113883           0           1           2
3e-05          1 0.00011781          0          1          2
3.1e-05           1 0.000121737           0           1           2
3.2e-05           1 0.000125664           0           1           2
3.3e-05           1 0.000129591           0           1           2
3.4e-05           1 0.000133518           0           1           2
3.5e-05           1 0.000137445           0           1           2
3.6e-05           1 0.000141372           0           1           2
3.7e-05           1 0.000145299           0           1           2
3.8e-05           1 0.000149226           0           1           2
3.9e-05           1 0.000153153           0           1           2
4e-05          1 0.00015708          0          1          2
4.1e-05           1 0.000161007           0           1           2
4.2e-05           1 0.000164934           0           1           2
4.3e-05           1 0.000168861           0           1           2
4.4e-05           1 0.000172788           0           1           2
4.5e-05           1 0.000176715           0           1           2
4.6e-05           1 0.000180642           0           1           2
4.7e-05           1 0.000184569           0           1           2
4.8e-05           1 0.000188496           0           1           2
4.9e-05           1 0.000192423           0           1           2
5e-05          1 0.00019635          0          1          2
5.1e-05           1 0.000200277           0           1           2
5.2e-05           1 0.000204204           0           1           2
5.3e-05          1 0.00020813          0          1          2
5.4e-05           1 0.000212057           0           1           2
5.5e-05           1 0.000215984           0           1           2
5.6e-05           1 0.000219911           0           1           2
5.7e-05           1 0.000223838           0           1           2
5.8e-05           1 0.000227765           0           1           2
5.9e-05           1 0.000231692           0           1           2
6e-05           1 0.000235619           0           1           2
6.1e-05           1 0.000239546           0           1           2
6.2e-05           1 0.000243473           0           1           2
6.3e-05         1 0.0002474         0         1         2
6.4e-05           1 0.000251327           0           1           2
6.5e-05           1 0.000255254           0           1           2
6.6e-05           1 0.000259181           0           1           2
6.7e-05           1 0.000263108           0           1           2
6.8e-05           1 0.000267035           0           1           2
6.9e-05           1 0.000270962           0           1           2
7e-05           1 0.000274889           0           1           2
7.1e-05           1 0.000278816           0           1           2
7.2e-05           1 0.000282743           0           1           2
7.3e-05          1 0.00028667          0          1          2
7.4e-05           1 0.000290597           0           1           2
7.5e-05           1 0.000294524           0           1           2
7.6e-05           1 0.000298451           0           1           2
7.7e-05           1 0.000302378           0           1           2
7.8e-05           1 0.000306305           0           1           2
7.9e-05           1 0.000310232           0           1           2
8e-05           1 0.000314159           0           1           2
8.1e-05           1 0.000318086           0           1           2
8.2e-05           1 0.000322013           0           1           2
8.3e-05          1 0.00032594          0          1          2
8.4e-05           1 0.000329867           0           1           2
8.5e-05           1 0.000333794           0           1           2
8.6e-05           1 0.000337721           0           1           2
8.7e-05           1 0.000341648           0           1           2
8.8e-05           1 0.000345575           0           1           2
8.9e-05           1 0.000349502           0           1           2
9e-05           1 0.000353429           0           1           2
9.1e-05           1 0.000357356           0           1           2
9.2e-05           1 0.000361283           0           1           2
9.3e-05          1 0.00036521          0          1          2
9.4e-05           1 0.000369137           0           1           2
9.5e-05           1 0.000373064           0           1           2
9.6e-05           1 0.000376991           0           1           2
9.7e-05           1 0.000380918           0           1           2
9.8e-05           1 0.000384845           0           1           2
9.9e-05           1 0.000388772           0           1           2
0.0001           1 0.000392699           0           1           2
0.000101           1 0.000396626           0           1           2
0.000102           1 0.000400553           0           1           2
0.000103          1 0.00040448          0          1          2
0.000104           1 0.000408407           0           1           2
0.000105           1 0.000412334           0           1           2
0.000106           1 0.000416261           0           1           2
0.000107           1 0.000420188           0           1           2
0.000108           1 0.000424115           0           1           2
0.000109           1 0.000428042           0           1           2
0.00011           1 0.000431969           0           1           2
0.000111           1 0.000435896           0           1           2
0.000112           1 0.000439823           0           1           2
0.000113          1 0.00044375          0          1          2
0.000114           1 0.000447677           0           1           2
0.000115           1 0.000451604           0           1           2
0.000116           1 0.000455531           0           1           2
0.000117           1 0.000459458           0           1           2
0.000118           1 0.000463385           0           1           2
0.000119           1 0.000467312           0           1           2
0.00012           1 0.000471239           0           1           2
0.000121           1 0.000475166           0           1           2
0.000122           1 0.000479093           0           1           2
0.000123          1 0.00048302          0          1          2
0.000124           1 0.000486947           0           1           2
0.000125           1 0.000490874           0           1           2
0.000126           1 0.000494801           0           1           2
0.000127           1 0.000498728           0           1           2
0.000128    0.999999 0.000502655           0           1           2
0.000129    0.999999 0.000506582           0           1           2
0.00013    0.999999 0.000510509           0           1           2
0.000131    0.999999 0.000514436           0           1           2
0.000132    0.999999 0.000518363           0           1           2
0.000133   0.999999 0.00052229          0          1          2
0.000134    0.999999 0.000526217           0           1           2
0.000135    0.999999 0.000530143           0           1           2
0.000136   0.999999 0.00053407          0          1          2
0.000137    0.999999 0.000537997           0           1           2
0.000138    0.999999 0.000541924           0           1           2
0.000139    0.999999 0.000545851           0           1           2
0.00014    0.999999 0.000549778           0           1           2
0.000141    0.999999 0.000553705           0           1           2
0.000142    0.999999 0.000557632           0           1           2
0.000143    0.999999 0.000561559           0           1           2
0.000144    0.999999 0.000565486           0           1           2
0.000145    0.999999 0.000569413           0           1           2
0.000146   0.999999 0.00057334          0          1          2
0.000147    0.999999 0.000577267           0           1           2
0.000148    0.999999 0.000581194           0           1           2
0.000149    0.999999 0.000585121           0           1           2
0.00015    0.999999 0.000589048           0           1           2
0.000151    0.999999 0.000592975           0           1           2
0.000152    0.999999 0.000596902           0           1           2
0.000153    0.999999 0.000600829           0           1           2
0.000154    0.999999 0.000604756           0           1           2
0.000155    0.999999 0.000608683           0           1           2
0.000156   0.999999 0.00061261          0          1          2
0.000157    0.999999 0.000616537           0           1           2
0.000158    0.999999 0.000620464           0           1           2
0.000159    0.999999 0.000624391           0           1           2
