0	1 0 0	         1.5 -1.22461e-16            0	        1.75 -2.44921e-16            0

0.001	  0.999999 0.00125664          0	       1.5 0.00188496          0	      1.75 0.00219911          0

0.002	  0.999997 0.00251327          0	       1.5 0.00376991          0	   1.74999 0.00439823          0

0.003	 0.999993 0.0037699         0	   1.49999 0.00565485          0	   1.74999 0.00659733          0

0.004	  0.999987 0.00502653          0	   1.49998 0.00753979          0	   1.74998 0.00879642          0

0.005	   0.99998 0.00628314          0	   1.49997 0.00942472          0	  1.74997 0.0109955         0

0.006	  0.999972 0.00753975          0	  1.49996 0.0113096         0	  1.74995 0.0131946         0

0.007	  0.999961 0.00879635          0	  1.49994 0.0131945         0	  1.74993 0.0153936         0

0.008	 0.999949 0.0100529         0	  1.49992 0.0150794         0	  1.74991 0.0175926         0

0.009	 0.999936 0.0113095         0	   1.4999 0.0169642         0	  1.74989 0.0197916         0

0.01	0.999921 0.012566        0	  1.49988 0.0188491         0	  1.74986 0.0219906         0

0.011	 0.999904 0.0138226         0	  1.49986 0.0207339         0	  1.74983 0.0241895         0

0.012	 0.999886 0.0150791         0	  1.49983 0.0226186         0	   1.7498 0.0263884         0

0.013	 0.999867 0.0163356         0	   1.4998 0.0245033         0	  1.74977 0.0285872         0

0.014	0.999845 0.017592        0	 1.49977 0.026388        0	 1.74973 0.030786        0

0.015	 0.999822 0.0188484         0	  1.49973 0.0282727         0	  1.74969 0.0329848         0

0.016	 0.999798 0.0201048         0	   1.4997 0.0301573         0	  1.74965 0.0351835         0

0.017	 0.999772 0.0213612         0	  1.49966 0.0320418         0	   1.7496 0.0373821         0

0.018	 0.999744 0.0226175         0	  1.49962 0.0339263         0	  1.74955 0.0395807         0

0.019	 0.999715 0.0238738         0	  1.49957 0.0358108         0	   1.7495 0.0417792         0

0.02	 0.999684 0.0251301         0	  1.49953 0.0376951         0	  1.74945 0.0439777         0

0.021	 0.999652 0.0263863         0	  1.49948 0.0395795         0	  1.74939 0.0461761         0

0.022	 0.999618 0.0276425         0	  1.49943 0.0414637         0	  1.74933 0.0483744         0

0.023	 0.999582 0.0288986         0	  1.49937 0.0433479         0	  1.74927 0.0505726         0

0.024	 0.999545 0.0301547         0	  1.49932 0.0452321         0	   1.7492 0.0527708         0

0.025	 0.999507 0.0314108         0	  1.49926 0.0471161         0	  1.74914 0.0549688         0

0.026	 0.999466 0.0326668         0	   1.4992 0.0490001         0	  1.74907 0.0571668         0

0.027	 0.999424 0.0339227         0	 1.49914 0.050884        0	  1.74899 0.0593647         0

0.028	 0.999381 0.0351786         0	  1.49907 0.0527679         0	  1.74892 0.0615625         0

0.029	 0.999336 0.0364344         0	    1.499 0.0546516         0	  1.74884 0.0637602         0

0.03	 0.999289 0.0376902         0	  1.49893 0.0565353         0	  1.74876 0.0659578         0

0.031	 0.999241 0.0389459         0	  1.49886 0.0584188         0	  1.74867 0.0681553         0

0.032	 0.999192 0.0402015         0	  1.49879 0.0603023         0	  1.74859 0.0703527         0

0.033	  0.99914 0.0414571         0	  1.49871 0.0621857         0	 1.7485 0.07255       0

0.034	 0.999087 0.0427127         0	 1.49863 0.064069        0	   1.7484 0.0747472         0

0.035	 0.999033 0.0439681         0	  1.49855 0.0659522         0	  1.74831 0.0769442         0

0.036	 0.998977 0.0452235         0	  1.49847 0.0678353         0	  1.74821 0.0791411         0

0.037	 0.998919 0.0464788         0	  1.49838 0.0697182         0	  1.74811 0.0813379         0

0.038	  0.99886 0.0477341         0	  1.49829 0.0716011         0	  1.74801 0.0835346         0

0.039	 0.998799 0.0489892         0	   1.4982 0.0734838         0	   1.7479 0.0857312         0

0.04	 0.998737 0.0502443         0	  1.49811 0.0753665         0	  1.74779 0.0879276         0

0.041	 0.998673 0.0514993         0	 1.49801 0.077249        0	  1.74768 0.0901238         0

0.042	 0.998608 0.0527543         0	  1.49791 0.0791314         0	  1.74756 0.0923199         0

0.043	  0.99854 0.0540091         0	  1.49781 0.0810137         0	  1.74745 0.0945159         0

0.044	 0.998472 0.0552639         0	  1.49771 0.0828958         0	  1.74733 0.0967118         0

0.045	 0.998402 0.0565185         0	   1.4976 0.0847778         0	   1.7472 0.0989074         0

0.046	  0.99833 0.0577731         0	  1.49749 0.0866597         0	 1.74708 0.101103        0

0.047	 0.998256 0.0590276         0	  1.49738 0.0885414         0	 1.74695 0.103298        0

0.048	0.998181 0.060282        0	 1.49727 0.090423        0	 1.74682 0.105494        0

0.049	 0.998105 0.0615363         0	  1.49716 0.0923045         0	 1.74668 0.107689        0

0.05	 0.998027 0.0627905         0	  1.49704 0.0941858         0	 1.74655 0.109883        0

0.051	 0.997947 0.0640446         0	  1.49692 0.0960669         0	 1.74641 0.112078        0

0.052	 0.997866 0.0652986         0	   1.4968 0.0979479         0	 1.74627 0.114273        0

0.053	 0.997783 0.0665525         0	  1.49667 0.0998288         0	 1.74612 0.116467        0

0.054	 0.997699 0.0678063         0	1.49655 0.10171       0	 1.74597 0.118661        0

0.055	0.997613 0.06906       0	1.49642 0.10359       0	 1.74582 0.120855        0

0.056	 0.997525 0.0703136         0	1.49629 0.10547       0	 1.74567 0.123049        0

0.057	 0.997436 0.0715671         0	 1.49615 0.107351        0	 1.74551 0.125242        0

0.058	 0.997345 0.0728204         0	 1.49602 0.109231        0	 1.74535 0.127436        0

0.059	 0.997253 0.0740737         0	 1.49588 0.111111        0	 1.74519 0.129629        0

0.06	 0.997159 0.0753268         0	1.49574 0.11299       0	 1.74503 0.131822        0

0.061	 0.997063 0.0765798         0	 1.4956 0.11487       0	 1.74486 0.134015        0

0.062	 0.996966 0.0778327         0	 1.49545 0.116749        0	 1.74469 0.136207        0

0.063	 0.996868 0.0790855         0	  1.4953 0.118628        0	1.74452 0.1384      0

0.064	 0.996768 0.0803381         0	 1.49515 0.120507        0	 1.74434 0.140592        0

0.065	 0.996666 0.0815906         0	   1.495 0.122386        0	 1.74417 0.142784        0

0.066	0.996563 0.082843        0	 1.49484 0.124264        0	 1.74398 0.144975        0

0.067	 0.996458 0.0840952         0	 1.49469 0.126143        0	  1.7438 0.147167        0

